LINEGEOMETRYC
IDOBJ_GID,IDOBJ_NAME,IDOBJ_ALIAS,IDOBJ_CUSTOMID,1152921504606912257,LINEGEOMETRYC_HEIGHT,LINEGEOMETRYC_NEUTRAL,LINEGEOMETRYC_PHASECOUNT,LINEGEOMETRYC_XA,LINEGEOMETRYC_YA,LINEGEOMETRYC_XB,LINEGEOMETRYC_YB,LINEGEOMETRYC_XC,LINEGEOMETRYC_YC,LINEGEOMETRYC_XN,LINEGEOMETRYC_YN
GID,Name,Alias,Custom ID,Visible en producción,Height,Neutral conductor,Phase count,Xa,Ya,Xb,Yb,Xc,Yc,Xn,Yn
"1318429117330246278","GIS_LGC_14m_False_-1.8m_0m_0m_0m_1.8m_0m_0m_0m_3","","BE508C9C121198D478098FC29E523F5087FD7A3E","true","14","false","3","-1.8","0","0","0","1.8","0","-0.5","-0.5"
"1318429117330246263","GIS_LGC_12m_False_-1.8m_0m_0m_1m_1.8m_0m_0m_0m_3","","88C70217E585D7C41188E39B0FCAE317B784B2C9","true","12","false","3","-1.8","0","0","1","1.8","0","-0.5","-0.5"
"1318429117330246260","GIS_LGC_12m_False_-1.1m_0m_0m_0m_0m_0m_0m_0m_2","","EF6AFA9A4A42DBBFF91F5A3300AF072A2218EA22","true","12","false","2","-1.1","0","0","0","0.5","0","-0.5","-0.5"
"1318429117330246259","GIS_LGC_12m_False_0m_1m_0m_0m_0m_-1m_0m_0m_3","","FE1F9C45B1028AED660C71E708F724E959C2C7BB","true","12","false","3","0","1","0","0","0","-1","-0.5","-0.5"
"1318429117330246256","GIS_LGC_12m_False_0m_0m_0m_2m_0m_0.8m_0m_0m_2","","51DBE751306E6820D005DD829F0FCEF5F4991720","true","12","false","2","-0.5","0","0","2","0","0.8","-0.5","-0.5"
"1318429117330246255","GIS_LGC_11m_False_0m_0m_-1.1m_0m_0m_0m_0m_0m_2","","C10B0D72FD429EA826CA0BC656B54BD6B3BF23C7","true","11","false","2","-0.5","0","-1.1","0","0","0","-0.5","-0.5"
"1318429117330246252","GIS_LGC_11m_False_-1.1m_0m_0.4m_0m_0m_0m_0m_0m_2","","F1FE4B616D747B06ED231F12AF844B16296F483F","true","11","false","2","-1.1","0","0.4","0","0.5","0","-0.5","-0.5"
"1318429117330246246","GIS_LGC_11m_False_0m_0m_-1.1m_0m_0.4m_0m_0m_0m_2","","CF9C423A95F6054BA753967E4551DD370A18CCE3","true","11","false","2","-0.5","0","-1.1","0","0.4","0","-0.5","-0.5"
"1318429117330246243","GIS_LGC_12m_False_0m_0m_-0.6m_0m_0m_0.8m_0m_0m_2","","64EBAF4DF17F210737F147CF770EAF8F7826DA3E","true","12","false","2","-0.5","0","-0.6","0","0","0.8","-0.5","-0.5"
"1318429117330246241","GIS_LGC_11m_False_0.7m_0m_0m_0.8m_2.1m_0m_0m_0m_3","","AAE82AFDD3678DB467EB57BD2FFEB84F2C372057","true","11","false","3","0.7","0","0","0.8","2.1","0","-0.5","-0.5"
"1318429117330246239","GIS_LGC_12m_False_0m_0m_-1.8m_0m_0m_0.8m_0m_0m_2","","3AED3C7927ADDC3288B37F9B434E4F2F171DB8AB","true","12","false","2","-0.5","0","-1.8","0","0","0.8","-0.5","-0.5"
"1318429117330246230","GIS_LGC_11m_False_0m_0m_-1.8m_0m_0m_0.8m_0m_0m_2","","E7223974539098273D9C592EA2F9106B860EB4C8","true","11","false","2","-0.5","0","-1.8","0","0","0.8","-0.5","-0.5"
"1318429117330246222","GIS_LGC_12m_False_-1.8m_0m_0m_0m_1.8m_0m_0m_0m_3","","2D03034834363EE694D8BA210ECABF1D0F86A0B6","true","12","false","3","-1.8","0","0","0","1.8","0","-0.5","-0.5"
