,job_id,job_name,step_name,version
180,3600,20220802028,Solicitar TQ,.
181,3597,20220801897,Promover en ADMS,AORTIZJ.GIS20220801897_WO400405919_PO
182,3598,20220801900, Diseño en StandBy,SPACOSTA.GIS20220801900_WO400437738_PO
183,3556,20220801919,Promover en ADMS,PSILVA.GIS20220801919_WO400447812_PO
184,3540,20220801927,Promover en ADMS,MHHERRERA.GIS20220801927_WO400463338_PO
185,3599,20220801943,Promover en ADMS,PLOAIZA.GIS20220801943_WO400453607_PO
186,3558,20220801951,Promover en ADMS,PLOAIZA.GIS20220801951_WO400454325_PO
187,3559,20220801961,Definir,.
188,3560,20220801978,Prediseño en StandBy,.
189,3561,20220801986,Definir,.
190,3562,20220801994,Promover en ADMS,MHHERRERA.GIS20220801994_WODI_PP_013_03_PO
191,3563,20220802001,Prediseño en StandBy,JIDROBO.GIS20220802001_WO400466555
192,3563,20220802001,Prediseño en StandBy,JIDROBO.GIS20220802001_WO400466555_PO
193,3564,20220802011,Definir,.
194,3614,20220802052,Definir,.
195,3542,20220802109,Promover en ADMS,MICARVAJAL.GIS20220802109_WODI_RE_013_02_PO
196,3857,20220802151,Definir,.
197,3546,20220802176,Definir,.
198,3543,20220802117,Definir,.
199,3544,20220802125,Promover en ADMS,AMVELEZ.GIS20220802125_WO400485442_PO
200,3545,20220802168,Definir,.
201,3615,20220802133,Definir,.
202,3616,20220802141,Definir,.
203,3565,20220802044,Definir,.
204,3566,20220802060,Definir,.
205,3567,20220802079,Definir,.
206,3568,20220802087,Editar Prediseño,.
207,3541,20220802095,Finalizado,.
208,3863,20220802273,Definir,.
209,3551,20220802281,Promover en ADMS,JMPARRA.GIS20220802281_NWO
210,3552,20220802303,Definir,.
211,3889,20220802311,Promover en ADMS,CMVALLEJO.GIS20220802311_WODI_PS_026_08_PO
212,3890,20220802321,Promover en ADMS,DFLOPEZ.GIS20220802321_WODI_RE_013_02_PO
213,4817,20220803210,Revisión TQ,MICARVAJAL.GIS20220803210_NWO
214,3547,20220802184,Definir,.
215,3548,20220802192,Definir,.
216,3549,20220802206,Definir,.
217,3550,20220802249,Anular TQ,.
218,3858,20220802214,Anular TQ,.
219,3859,20220802222,Definir,.
220,3861,20220802257,Finalizado,.
221,3862,20220802265,Prediseño en StandBy,MICARVAJAL.GIS20220802265_NWO
222,4545,20220802818,Anular TQ,.
223,3910,20220802737,Prediseño en StandBy,.
224,3911,20220802745,Revisar Prediseño,DFLOPEZ.GIS20220802745_NWO
225,5153,20220803342,Promover en ADMS,ALSOLANO.GIS20220803342_WO400464291_PO
226,5305,20220803741,Prediseño en StandBy,.
227,3877,20220802631,Definir,.
228,4641,20220802974,Revisar Prediseño,.
229,4642,20220802982,Prediseño en StandBy,PSILVA.GIS20220802982_NWO
230,3905,20220802370,Promover en ADMS,DAARBELAEZ.GIS20220802370_NWO
231,3906,20220802397,Promover en ADMS,EDELGADO.GIS20220802397_WODI_PP_014_03_PO
232,3912,20220802753,Revisar Prediseño,DFLOPEZ.GIS20220802753_NWO
233,4643,20220803075,Promover en ADMS,JNGAVIRIA.GIS20220803075_WODI_RE_013_01_PO
234,3907,20220802605,Definir,.
235,4651,20220803199,Definir,.
236,4652,20220803202,Editar Diseño,SPACOSTA.GIS20220803202_NWO
237,4819,20220803245,Definir,.
238,4820,20220803261,Definir,.
239,4821,20220803271,Prediseño en StandBy,.
240,5306,20220803768,Espera Confirmación ADMS,JIDROBO.GIS20220803768_WO400485728_PO
241,5161,20220803784,Finalizado,EDELGADO.GIS20220803784_NWO
242,4514,20220802869,Editar Prediseño,.
243,4515,20220802877,Definir,.
244,4614,20220803301,Anular TQ,EDELGADO.GIS20220803301_NWO
245,4615,20220803318,Anular TQ,.
246,4822,20220803296,Definir,.
247,5265,20220803490,Rechazar Prediseño,HRRODRIGUEZS.GIS20220803490_NWO
248,4498,20220802771,Revisar Prediseño,RVANEGASB.GIS20220802771_NWO
249,4499,20220802788,Definir,.
250,4516,20220802885,Finalizado,PSILVA.GIS20220802885_NWO
251,4517,20220802931, Enviar a ADMS,CMVALLEJO.GIS20220802931_NWO
252,5137,20220803334,Promover en ADMS,MICARVAJAL.GIS20220803334_WODI_PP_014_03_PO
253,5169,20220803350, Diseño en StandBy,AMVELEZ.GIS20220803350_WO400444734_PO
254,3860,20220802230,Anular TQ,.
255,5202,20220803504,Promover en ADMS,PSILVA.GIS20220803504_NWO
256,4609,20220802923,Prediseño en StandBy,.
257,5307,20220803776,Revisar Prediseño,.
